from,to,relation,weight,event,year
ml,v_raelingen,1,NA,NA,NA
sk,v_schwarzach,1,NA,NA,NA
rk96,v_tsuchiya,1,NA,NA,NA
vz,v_nsa,1,NA,NA,NA
pw,v_wisla_wss,1,NA,NA,NA
nn,v_flyinglaboratory,1,NA,NA,NA
aa95,v_kiteen,1,NA,NA,NA
lk99,v_ljubljana,1,NA,NA,NA
pr00,v_oberstdorf,1,NA,NA,NA
ml,nor,2,NA,NA,NA
sk,aut,2,NA,NA,NA
rk96,jpn,2,NA,NA,NA
vz,bul,2,NA,NA,NA
pw,pol,2,NA,NA,NA
nn,jpn,2,NA,NA,NA
lk99,slo,2,NA,NA,NA
pr00,ger,2,NA,NA,NA
mb,nor,3,NA,NA,NA
sh69t,ger,3,NA,NA,NA
ks90,jpn,3,NA,NA,NA
rh88,slo,3,NA,NA,NA
es,bul,3,NA,NA,NA
mm82,pol,3,NA,NA,NA
im,fin,3,NA,NA,NA
bn,sui,3,NA,NA,NA
mb,ml,4,NA,NA,NA
mb,jf,4,NA,NA,NA
sh69t,aw95,4,NA,NA,NA
sh69t,pr00,4,NA,NA,NA
ks90,rk96,4,NA,NA,NA
ks90,nn,4,NA,NA,NA
rh88,al96,4,NA,NA,NA
rh88,lk99,4,NA,NA,NA
es,vz,4,NA,NA,NA
mm82,pw,4,NA,NA,NA
im,aa95,4,NA,NA,NA
bn,gd,4,NA,NA,NA
v_raelingen,nor,5,NA,NA,NA
v_bischofshofen,aut,5,NA,NA,NA
v_oberaudorf,ger,5,NA,NA,NA
v_schwarzach,aut,5,NA,NA,NA
v_tsuchiya,jpn,5,NA,NA,NA
v_menges,slo,5,NA,NA,NA
v_nsa,bul,5,NA,NA,NA
v_wisla_wss,pol,5,NA,NA,NA
v_flyinglaboratory,jpn,5,NA,NA,NA
v_kiteen,fin,5,NA,NA,NA
v_ljubljana,slo,5,NA,NA,NA
v_horw,sui,5,NA,NA,NA
v_oberstdorf,ger,5,NA,NA,NA
v_fersped,slo,5,NA,NA,NA
v_katowice,slo,5,NA,NA,NA
v_kitanoconstruction,jpn,5,NA,NA,NA
ks90,v_kitanoconstruction,6,NA,NA,NA
rh88,v_velenje,6,NA,NA,NA
mm82,v_katowice,6,NA,NA,NA
im,v_fersped,6,NA,NA,NA
bn,v_kranj,6,NA,NA,NA
ml,wc25,7,4,NA,2025
aw95,wc25,7,3,NA,2025
jh98,wc25,7,2,NA,2025
kg,wc25,7,1,NA,2025
jf,wc25,7,1,NA,2025
sk,wc25,7,1,NA,2025
rk96,wc25,7,1,NA,2025
al96,wc25,7,1,NA,2025
vz,wc25,7,1,NA,2025
pw,wc25,7,1,NA,2025
nn,wc25,7,1,NA,2025
aa95,wc25,7,1,NA,2025
lk99,wc25,7,1,NA,2025
gd,wc25,7,1,NA,2025
pr00,wc25,7,1,NA,2025
mb,wc25,8,NA,NA,2025
sh69t,wc25,8,NA,NA,2025
aw76,wc25,8,NA,NA,2025
ks90,wc25,8,NA,NA,2025
