id,name,type,nationality,team,debut_year,last_year,active,birth_year,country,region
pw,Pawel Wasek,1,Polish,WSS Wisla,2018,NA,yes,1999,NA,NA
lb,Lars Bystoel,1,Norwegian,Eldar IL,2002,2008,no,1978,NA,NA
rk96,Ryoyu Kobayashi,1,Japanese,Tsuchiya Home Ski Team,2013,NA,yes,1996,NA,NA
mf,Manuel Fettner,1,Austrian,SV Innsbruck Bergisel,2001,NA,yes,1985,NA,NA
dk,Dawid Kubacki,1,Polish,TS Wisla Zakopane,2004,NA,yes,1990,NA,NA
ek,Evgeniy Klimov,1,Russian,GBU TSOVS Moskovskaya obl MBU SSHOR,2014,NA,yes,1994,NA,NA
ks87,Kamil Stoch,1,Polish,KS Eve nement Zakopane,2003,NA,yes,1987,NA,NA
ml,Marius Lindvik,1,Norwegian,Raelingen SK,2011,NA,yes,1998,NA,NA
ds,Danil Sadreev,1,Russian,MBU DO Sshor Leninogorsk,2018,NA,yes,2003,NA,NA
tz,Timi Zajc,1,Slovenian,SSK Ljubno BTC,2013,NA,yes,2000,NA,NA
sk,Stefan Kraft,1,Austrian,SV Schwarzach,2007,NA,yes,1993,NA,NA
cs,Constantin Schmid,1,German,WSV Oberaudorf,2013,NA,yes,1999,NA,NA
aa95,Antti Aalto,1,Finnish,Kiteen Urheilijat,2012,NA,yes,1995,NA,NA
al96,Anze Lanisek,1,Slovenian,SSK Menges,2010,NA,yes,1996,NA,NA
dh,Daniel Huber,1,Austrian,SC Seekirchen,2008,NA,yes,1993,NA,NA
kg,Karl Geiger,1,German,SC Oberstdorf,2008,NA,yes,1993,NA,NA
aw95,Andreas Wellinger,1,German,SC Ruhpolding,2011,NA,yes,1995,NA,NA
jf,Johann Andre Forfang,1,Norwegian,Tromsoe SK,2008,NA,yes,1995,NA,NA
rj90,Robert Johansson,1,Norwegian,Soere Al IL,2006,NA,yes,1990,NA,NA
sh86,Stefan Hula,1,Polish,KS Eve nement Zakopane,2002,2023,no,1986,NA,NA
dt94,Daniel Andre Tande,1,Norwegian,Kongsberg IF,2008,NA,yes,1994,NA,NA
me,Markus Eisenbichler,1,German,TSV Siegsdorf,2006,NA,yes,1991,NA,NA
rf,Richard Freitag,1,German,SG Nickelhuette Aue,2006,2022,no,1991,NA,NA
mh74,Martin Hoellwarth,1,Austrian,SC Mayrhofen,1991,2008,no,1974,NA,NA
vz,Vladimir Zografski,1,Bulgarian,NSA,2005,NA,yes,1993,NA,NA
as88,Andreas Stjernen,1,Norwegian,Sprova IL,2005,2019,no,1988,NA,NA
