id,name,type,nationality,team,debut_year,last_year,active,birth_year
pw,Pawel Wasek,1,Poland,WSS Wisla,2018,NA,yes,1999
lb,Lars Bystoel,1,Norway,Eldar IL,2002,2008,no,1978
rk96,Ryoyu Kobayashi,1,Japanese,Tsuchiya Home Ski Team,2013,NA,yes,1996
mf,Manuel Fettner,1,Austrian,SV Innsbruck Bergisel,2001,NA,yes,1985
dk,Dawid Kubacki,1,Polish,TS Wisla Zakopane,2004,NA,yes,1990
ek,Evgeniy Klimov,1,Russian,GBU TSOVS Moskovskaya obl MBU SSHOR,2014,NA,yes,1994
ks87,Kamil Stoch,1,Polish,KS Eve nement Zakopane,2003,NA,yes,1987
ml,Marius Lindvik,1,Norwegian,Raelingen SK,2011,NA,yes,1998
ds,Danil Sadreev,1,Russian,MBU DO Sshor Leninogorsk,2018,NA,yes,2003
tz,Timi Zajc,1,Slovenian,SSK Ljubno BTC,2013,NA,yes,2000
sk,Stefan Kraft,1,Austrian,SV Schwarzach,2007,NA,yes,1993
cs,Constantin Schmid,1,German,WSV Oberaudorf,2013,NA,yes,1999
aa95,Antti Aalto,1,Finnish,Kiteen Urheilijat,2012,NA,yes,1995
al96,Anze Lanisek,1,Slovenian,SSK Menges,2010,NA,yes,1996
dh,Daniel Huber,1,Austrian,SC Seekirchen,2008,NA,yes,1993
kg,Karl Geiger,1,German,SC Oberstdorf,2008,NA,yes,1993
aw95,Andreas Wellinger,1,German,SC Ruhpolding,2011,NA,yes,1995
jf,Johann Andre Forfang,1,Norwegian,Tromsoe SK,2008,NA,yes,1995
rj90,Robert Johansson,1,Norwegian,Soere Al IL,2006,NA,yes,1990
sh86,Stefan Hula,1,Polish,KS Eve nement Zakopane,2002,2023,no,1986
dt94,Daniel Andre Tande,1,Norwegian,Kongsberg IF,2008,NA,yes,1994
me,Markus Eisenbichler,1,German,TSV Siegsdorf,2006,NA,yes,1991
rf,Richard Freitag,1,German,SG Medizin Bad Elster,2006,2022,no,1991
mh74,Martin Hoellwarth,1,Austrian,SC Mayrhofen,1991,2008,no,1974
vz,Vladimir Zografski,1,Bulgarian,NSA,2005,NA,yes,1993
as88,Andreas Stjernen,1,Norwegian,Sprova IL,2005,2019,no,1988
td,Thomas Diethart,1,Austrian,UVB Hinzenbach,2007,2021,no,1992
mh91,Michael Hayboeck,1,Austrian,UVB Hinzenbach,2006,2025,no,1991
mk91a,Maciej Kot,1,Polish,AZS Zakopane,2006,NA,yes,1991
nk,Noriaki Kasai,1,Japanese,Tsuchiya Home,1988,NA,yes,1972
jd,Jernej Damjan,1,Slovenian,SSK Sam Ihan,2001,2021,no,1983
jz,Jan Ziobro,1,Polish,WKS Zakopane,2006,2017,no,1991
tm,Thomas Morgenstern,1,Austrian,SV Villach,2002,2014,no,1986
af91,Anders Fannemel,1,Norwegian,Hornindal IL,2007,2023,no,1991
sf,Severin Freund,1,German,WSV DJK Rastbuechl,2002,2022,no,1988
ag,Andreas Goldberger,1,Austrian,SC Waldzell,1991,2005,no,1972
mu,Michael Uhrmann,1,German,WSV DJK Rastbuechl,1994,2011,no,1978
rk81,Robert Kranjec,1,Slovenian,SK Triglav Kranj,1998,2019,no,1981
aj,Anders Jacobsen,1,Norwegian,Ringkollen SK,2003,2015,no,1985
ms,Martin Schmitt,1,German,SC Furtwangen,1997,2014,no,1978
wl,Wolfgang Loitzl,1,Austrian,WSC Bad Mitterndorf,1997,2015,no,1980
th,Tom Hilde,1,Norwegian,Asker SK,2004,2018,no,1987
rk89,Roman Koudelka,1,Czech,LSK Lomnice,2004,NA,yes,1989
jj,Jakub Janda,1,Czech,TJ Dukla Liberec,1996,2017,no,1978
di85,Daiki Ito,1,Japanese,Megmilk Snow Brand,2002,2022,no,1985
vk,Ville Kantee,1,Finnish,Puijon Hiihtoseura,1996,2004,no,1978
if,Ildar Fatchullin,1,Russian,CSK Lokomotiva Ufa,1999,2007,no,1982
rj75,Risto Jussilainen,1,Finnish,Jyvaeskylaen Hiihtoseura,1992,2007,no,1975
ws76,Wojciech Skupien,1,Polish,WKS Zakopane,1992,2009,no,1976
ti,Tommy Ingebrigsten,1,Norwegian,Byaasen IL,1993,2007,no,1977
