id,name,type,country,team,debut_year,last_year,active,birth_year
VST,Vierschanzentournee,5,,,,,,
OLY,Olympische Winterspiele,5,,,,,,
Vierschanzentournee 2025/26,,,,,,,,
dp,Domen Prevc,1,SLO,"SK Triglav 
Kranj",2015,,yes,1999
jh,Jan Hörl,1,AUT,SC Bischofshofen,2019,,yes,1998
se,"Stephan
Embacher",1,AUT,Kitzbüheler SC,2024,,yes,2006
rn,Ren Nikaido,1,JPN,Nippon Beer,2020,,yes,2001
rk,Ryoyu Kobayashi,1,JPN,Team Roy,2016,,yes,1996
fh,Felix Hoffmann,1,GER,SWV Goldlauter,,,,
dt,Daniel Tschofenig,1,AUT,SV Achomitz SD Zahomc,2021,,yes,2002
pr,"Philipp
Raimund",1,GER,SC Oberstdorf,2019,,yes,2000
al,Anze Lanisek,1,SLO,SSK Mengeš,2014,,yes,1996
mf,Manuel Fettner,1,AUT,SV Innsbruck Bergisel,2001,,yes,1985
sk,Stefan Kraft,1,AUT,SV Schwarzach,2012,,yes,1993
kt,Kacper Tomasiak,1,POL,LKS Klimczok Bystra,2025,,yes,2007
jf,Johann Andre Forfang,1,NOR,Tromsø Skiklubb,2014,,yes,1995
ws,Wladimir Sografski,1,BUL,SC Samokow,2009,,yes,1993
js,Jonas Schuster,1,AUT,SV Innsbruck Bergisel,,,yes,2003
mo,Maximilian Ortner,1,AUT,SV Villach,,,yes,2002
sh,Stefan Horngacher,2,AUT,SC Wörgl,1988,2002,no,1969
jv,Janne Henrik Väätäinen,2,FIN,Puijon Hiihtoseura,1992,2001,no,1975
aw,"Andreas 
Wildhölzl",2,AUT,"Österreichischer
Skiverband 
(ÖSV)",1993,2008,no,1976
